Epoch 315/1500: Actor=2.1334721145629882, Critic=0.08772858047485352
Epoch 316/1500: Actor=2.1230397148132325, Critic=0.08641532373428344
Epoch 317/1500: Actor=2.10483411026001, Critic=0.08295082199573517
Epoch 318/1500: Actor=2.1072111167907717, Critic=0.08755128586292267
Epoch 319/1500: Actor=2.1041143493652346, Critic=0.08291758704185485
Epoch 320/1500: Actor=2.120530860900879, Critic=0.08615141844749451
Epoch 321/1500: Actor=2.0713579750061033, Critic=0.08262899792194367
Epoch 322/1500: Actor=2.088587028503418, Critic=0.08211310076713561
Epoch 323/1500: Actor=2.071430549621582, Critic=0.08155225372314454
Epoch 324/1500: Actor=2.085848789215088, Critic=0.08377166771888733
Epoch 325/1500: Actor=2.085174430847168, Critic=0.0842402331829071
Epoch 326/1500: Actor=2.0848618240356447, Critic=0.08680129182338715
Epoch 327/1500: Actor=2.0962372093200683, Critic=0.08669024789333343
Epoch 328/1500: Actor=2.0523454933166505, Critic=0.08253783452510834
Epoch 329/1500: Actor=2.0708206214904785, Critic=0.09324647092819213
Epoch 330/1500: Actor=2.083246696472168, Critic=0.08284293258190155
Epoch 331/1500: Actor=2.0817891578674317, Critic=0.09137379789352416
Epoch 332/1500: Actor=2.101412239074707, Critic=0.08502964115142822
Epoch 333/1500: Actor=2.0907681770324706, Critic=0.08413981974124908
Epoch 334/1500: Actor=2.0782766914367676, Critic=0.09075010180473328
Epoch 335/1500: Actor=2.095346035003662, Critic=0.0861003086566925
Epoch 336/1500: Actor=2.0732180671691895, Critic=0.08541648602485656
Epoch 337/1500: Actor=2.058007999420166, Critic=0.08505998945236207
Epoch 338/1500: Actor=2.0350198783874514, Critic=0.07982524108886718
Epoch 339/1500: Actor=2.0258471336364745, Critic=0.08257132375240325
Epoch 340/1500: Actor=2.0457915077209474, Critic=0.08088521552085877
Epoch 341/1500: Actor=2.0281975479125975, Critic=0.08340706169605255
Epoch 342/1500: Actor=2.024289218902588, Critic=0.0868848237991333
Epoch 343/1500: Actor=2.038786403656006, Critic=0.08298906970024109
Epoch 344/1500: Actor=2.0282363052368164, Critic=0.07965620124340057
Epoch 345/1500: Actor=2.027572322845459, Critic=0.08040380489826203
Epoch 346/1500: Actor=2.022933567047119, Critic=0.08100036072731018
Epoch 347/1500: Actor=2.0059931564331053, Critic=0.07990966594219208
Epoch 348/1500: Actor=2.0558392868041993, Critic=0.084053040266037
Epoch 349/1500: Actor=2.0317053031921386, Critic=0.08144734632968903
Epoch 350/1500: Actor=2.0378642234802244, Critic=0.08553349244594574
Epoch 351/1500: Actor=2.01715380859375, Critic=0.07922313284873962
Epoch 352/1500: Actor=1.9895570373535156, Critic=0.08062669909000397
Epoch 353/1500: Actor=1.9909928283691407, Critic=0.07967666947841644
Epoch 354/1500: Actor=1.9808897552490234, Critic=0.08099869358539581
